Country Name,Country Code,Series Name,Series Code,2013,2014,2015,2016,2017,2018,2019
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,16.7,16.3,15.9,16.7,15.4,15.2,14.9
Brazil,BRA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,,,,,,,
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,97,96,95,91,92,91
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,109.945137,110.3164597,109.1521835,108.757843,109.8085098,108.623291,107.4074707
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,103.9176788,102.6355286,100.920517,102.5695114,103.0159607,105.0070724,103.9532776
Brazil,BRA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.016649961,1.018110037,1.01473999,1.008540034,1.005130053,1.006680012,1.009909987
Brazil,BRA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5069631.6,5054239.8,5038848,5020821,5000916,4990514,4977985
Brazil,BRA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,,,,20.73728423,28.57825261,28.57825261,28.5782512
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,1.190697315,1.148595654,1.128069246,1.171347818,1.160219043,1.141317788,1.244126479
Brazil,BRA,Urban population growth (annual %),SP.URB.GROW,1.204555809,1.189409325,1.170641414,1.127882077,1.102096588,1.094558477,1.060237553
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1456.109047,1490.425846,,,,,
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.413423219,2.514601766,2.365340621,2.161272835,2.18934835,2.064980862,2.050685078
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2560.09556,2610.999282,,,,,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.92E+12,1.87E+12
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.504564533,7.846709744,7.566175012,8.103604359,3.671384513,4.493534331,4.224258869
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.506886182,4.325610537,4.319149428,4.891353587,4.600591694,4.420399304,4.205014096
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,21.22480995,20.47246275,19.36004398,18.35475828,18.18850231,18.74905145,18.75462758
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,11.74223064,11.01194282,12.90019142,12.46667904,12.51896787,14.6349995,14.12291919
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.04372668,13.673463,14.05343452,12.06700304,11.8007665,14.24120388,14.76733868
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.69376696,20.54841077,17.41162587,14.96954697,14.6255876,15.09504163,15.51679083
Brazil,BRA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,28.65112223,27.37151454,29.2514316,29.67010526,27.82472985,28.58288523,29.1518761
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,86.6,83.6,86,82.5,82.5,20.1,16.6
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,
Brazil,BRA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,14.12530574,13.49007452,13.62962937,13.71043098,13.60522852,13.94010799,13.73769484
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.329446084,1.330244423,1.365517154,1.347975413,1.414485611,1.469677724,1.379456925
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,134.3929329,137.9776265,125.6477067,117.9869738,106.1217992,99.64002652,95.38505233
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,11.96971682,12.37105526,14.48571488,15.9999584,14.311719,14.74391203,14.06645865
Brazil,BRA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,75.55555556,75.55555556,72.22223333,76.66666667,74.44443333,84.44443333,84.44443333
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,19.6063023,18.7983387,20.37726507,18.08620423,18.45609636,22.15658528,22.11576653
Brazil,BRA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,125.7597432,121.4837064,107.3474416,109.9276522,116.2341709,114.7659498,114.945085
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4.84E+11,5.57E+11,5.43E+11,5.43E+11,5.43E+11,5.58E+11,5.69E+11
Brazil,BRA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,28.03853326,22.91170359,39.76211154,51.01108298,34.61661579,33.15452848,53.23467805
Brazil,BRA,Net migration,SM.POP.NETM,35308,24940,4764,82589,56362,67934,69186
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2717675069,2647908513,2896909952,2739786527,2698770651,2933489276,3213621677
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,75211029129,87713983217,64738153494,74294627801,68885491315,78162724370,69174411753
Brazil,BRA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1155729980,914150024.4,1003190002,674630004.9,273890014.6,444450012.2,272399993.9
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,80.41174261,81.19584995,81.97630358,82.69040002,83.52582053,84.2947419,85.06008273
Brazil,BRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.25,2.22,2.15,2.11,2.09,,
Brazil,BRA,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,7.5635,8.788,9.1081,9.351,9.737,10.119,7.4008
Brazil,BRA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.882,,,,2.1652,,2.3106
