year_month,stance,summary
2014_01,neutral,"The text discusses various aspects of vaccination, focusing particularly on the HPV vaccine being introduced in Brazil. The Ministry of Health plans to offer the HPV vaccine for girls aged 11 to 13 starting March 10. Additionally, there are mentions of other vaccinations, personal experiences, and cultural perceptions surrounding vaccines, including humor and societal commentary about the necessity and timing of vaccinations. Overall, the text highlights the importance of vaccination programs and public health initiatives in Brazil."
2014_01,positive,"The provided texts discuss the introduction of a nasal vaccine for whooping cough, the successful testing of this vaccine in humans, and the implementation of a public vaccination campaign against HPV in Brazil starting March 10, 2014. The HPV vaccine will be offered for free to girls aged 11 to 13, aiming to prevent cervical cancer. Additionally, vaccination efforts are being made for Haitian immigrants and general vaccination initiatives within the health system."
2014_02,negative,"The text discusses various opinions and experiences related to vaccinations, particularly skepticism towards the effectiveness of certain vaccines, such as the Cuban vaccine for meningitis B, and the HPV vaccine. There are concerns about side effects, parental opposition, and the role of religion in vaccine hesitancy. Additionally, experiences of pain and discomfort from vaccinations are expressed, alongside criticisms of the anti-vaccine movement and its consequences on public health."
2014_02,neutral,"The text discusses various vaccination campaigns and events in Brazil, highlighting the rollout of vaccines against diseases like HPV, HIV, and measles, as well as the importance of vaccination for public health. It mentions the involvement of government initiatives, community reactions, and specific dates for vaccination drives. Additionally, it touches on controversies surrounding certain vaccines and individual experiences related to vaccination."
2014_02,positive,"The texts discuss various vaccination campaigns and research in Brazil, particularly focusing on the HPV vaccine for girls aged 11 to 13, which will be available in schools starting in March. Additionally, there are advancements in HIV vaccine research, with successful tests on monkeys and plans for human trials within three years."
2014_03,negative,"The text discusses the controversy surrounding the HPV vaccination, particularly focusing on evangelical mothers who are reportedly boycotting the vaccine for their daughters, believing it promotes early sexual activity. Many individuals express fears about the pain associated with the vaccine and its potential side effects, with reports of adverse reactions in some cases. The text highlights the tension between public health initiatives and personal beliefs, particularly in religious communities."
2014_03,neutral,"The upcoming vaccination campaign against HPV (Human Papillomavirus) will start next week for girls aged 11 to 13 across Brazil. The initiative aims to prevent cervical cancer and is part of the national health program. However, the vaccine has sparked controversy and divided opinions among parents and healthcare professionals regarding its necessity and safety."
2014_03,positive,"The text discusses the upcoming nationwide vaccination campaign in Brazil against HPV, targeting girls aged 11 to 13, starting from March 10. It emphasizes the importance of vaccination in preventing cervical cancer, highlights the availability of the vaccine through public health systems, and encourages parents to ensure their daughters receive the vaccine. Concerns about vaccine safety are addressed, with authorities assuring the public of its efficacy and necessity. The campaign aims to raise awareness and increase participation among the target age group."
2014_04,negative,"The sentences discuss various sentiments about vaccinations, particularly focusing on the pain and discomfort experienced after receiving them, the fear and avoidance some people feel towards vaccinations, and the ongoing campaigns for vaccines like HPV and flu shots. Many express annoyance at having to take these vaccines, while others mention complications or adverse reactions following vaccination. There's also mention of issues like vaccine shortages and controversies surrounding the necessity of certain vaccines. Overall, there's a mix of frustration, pain, and societal discussion regarding vaccinations."
2014_04,neutral,"The provided sentences discuss various vaccination campaigns in Brazil, focusing on the HPV and flu vaccines. Key points include the ongoing vaccination efforts against HPV for girls aged 11 to 13, extension of measles vaccination campaigns, and the upcoming flu vaccination period starting April 22. Concerns about vaccine hesitancy and the importance of vaccination for public health are also mentioned. The overall tone reflects a mix of humor, urgency, and community involvement in vaccination activities."
2014_04,positive,"The sentences discuss vaccination campaigns in Brazil, focusing on the importance of vaccines for children, pregnant women, and specific diseases like HPV and influenza. Key details include the start dates for various vaccination campaigns, the groups targeted (such as children under 5 and young girls for HPV), and efforts to increase vaccination rates nationwide. The messages emphasize the safety and necessity of vaccinations in preventing serious diseases."
2014_05,negative,"The text discusses various opinions and experiences related to vaccinations, particularly the flu vaccine. Many individuals express their dislike for vaccines, recounting painful experiences and side effects, such as soreness in the arm, feeling ill, or even getting the flu after vaccination. Some mention the fear of needles and the pressure to get vaccinated, while others criticize the effectiveness of vaccines. There are also references to the lack of available vaccines in certain areas and concerns regarding the safety and reliability of vaccinations, including controversies surrounding specific vaccines like HPV. Overall, the sentiment is mixed, with many expressing skepticism and discomfort about the vaccination process."
2014_05,neutral,"The text discusses various aspects of vaccination campaigns in Brazil, particularly focusing on the influenza (flu) vaccine and the vaccination against foot-and-mouth disease for livestock. It mentions the low turnout for the flu vaccine, the extension of vaccination deadlines, and the importance of reaching vaccination targets for specific populations. Additionally, it addresses public concerns about vaccine safety and efficacy, while promoting awareness through videos and educational materials."
2014_05,positive,"The text discusses various vaccination campaigns in Brazil, focusing mainly on the influenza vaccine and the importance of immunization against diseases like HPV and measles. It highlights government efforts to extend vaccination deadlines and achieve vaccination targets, as well as the development of new vaccines for diseases like malaria and cancer. The public is encouraged to participate in vaccination drives to protect against illnesses and maintain community health."
2014_06,negative,"The text discusses various public reactions and complaints regarding vaccination campaigns in Brazil, particularly against the flu and HPV. Many individuals express frustration about side effects, ineffectiveness of the vaccines, and the lack of availability. There are also mentions of fears surrounding vaccinations and a general skepticism towards their benefits, reflecting concerns about public health policies and government accountability."
2014_06,neutral,"The text discusses various aspects of vaccination in Brazil, including ongoing campaigns for flu and HPV vaccinations, discrepancies in vaccination rates in different regions, and the importance of maintaining vaccination schedules. It also humorously references the need for vaccinations related to the soccer player Luis Suárez, particularly regarding rabies after his biting incident."
2014_06,positive,"The text discusses various vaccination campaigns and initiatives in Brazil, emphasizing the importance of vaccinations against diseases like HPV, influenza, and coqueluche. It highlights statistics on coverage rates, ongoing campaigns, and the benefits of vaccination for both individuals and public health. The overall message promotes awareness and participation in vaccination programs."
2014_07,negative,"The text discusses various experiences and opinions regarding vaccinations, particularly focusing on the flu vaccine and the HPV vaccine. Many individuals express discomfort, fear, or frustration about getting vaccinated, sharing reactions to side effects, and questioning the effectiveness of vaccines. There are also mentions of vaccination campaigns and public health issues related to vaccine availability."
2014_07,neutral,"The provided Portuguese sentences predominantly discuss various vaccination campaigns in Brazil, such as those against tuberculosis, hepatitis A, and leishmaniasis. They highlight vaccination efforts for children, adults, and animals, along with reminders for individuals to get vaccinated and reports on the coverage and effectiveness of these vaccines. The text also touches on public health initiatives and community reactions to vaccination."
2014_07,positive,"The text discusses various vaccination campaigns in Brazil, highlighting the effectiveness of a dengue vaccine showing 88% efficacy in hemorrhagic cases. It notes the inclusion of the hepatitis A vaccine in the national immunization schedule, with plans to reach children aged 1-2 years. Additionally, it mentions significant vaccination rates against influenza and the need for public awareness regarding hepatitis vaccinations."
2014_08,negative,"The text discusses various experiences and opinions about vaccinations, including personal pain and discomfort after receiving vaccines, criticism of vaccine availability in certain regions, and disparities in vaccine development for diseases affecting different populations. It highlights frustrations with mandatory vaccinations and the perceived ineffectiveness of some vaccines, especially in relation to diseases like Ebola and the flu."
2014_08,neutral,"The text discusses various vaccination campaigns in Brazil, including those for rabies, HPV, hepatitis A, and Ebola. It highlights efforts by health authorities to vaccinate children and animals, the development of vaccines, and the importance of public health initiatives. There are also humorous remarks about the vaccination experience and societal attitudes towards vaccines."
2014_08,positive,"The text covers various announcements regarding vaccines for different diseases, including dengue, rabies, HPV, hepatitis A, and Ebola. It highlights the introduction of new vaccines, the start of vaccination campaigns in multiple states, and the importance of vaccinating children and pets. Additionally, it discusses ongoing vaccine trials for Ebola and chikungunya, emphasizing public health initiatives and the necessity of vaccinations to prevent disease spread."
2014_09,negative,"Several reports highlight serious adverse reactions to the HPV vaccine, with multiple young girls experiencing paralysis and hospitalization following vaccination. In particular, three adolescents in Bertioga have been reported to have lost movement in their legs, raising concerns about the vaccine's safety. Additionally, there are alarming reports of at least 15 child fatalities linked to a measles vaccination campaign in Syria, attributed to human error. The situation has sparked widespread fear and skepticism regarding the safety and efficacy of various vaccines."
2014_09,neutral,"The text discusses the vaccination campaign against HPV for girls aged 11 to 13, emphasizing the importance of receiving the second dose at designated health centers and schools. Various regions in Brazil are implementing these campaigns, with some areas experiencing low participation rates. Additionally, it mentions the availability of vaccines for rabies and hepatitis A, along with other vaccination efforts for animals."
2014_09,positive,"The texts discuss various vaccination campaigns and their significance, including the availability of HPV vaccines for girls aged 11-13, the effectiveness of the dengue vaccine showing 60.8% efficacy, and the ongoing efforts to develop and test vaccines against Ebola. They emphasize the importance of timely vaccinations for both humans and pets, and the role of vaccines in preventing diseases. Additionally, there are mentions of new vaccines for hepatitis A and meningitis, and the need for public health initiatives to encourage vaccination."
2014_10,negative,"The sentences discuss the controversy surrounding Aécio Neves' administration in Minas Gerais, particularly the alleged use of public health funds to purchase vaccines for horses, which some claim were misclassified as health expenditures. This has led to significant public outrage and ridicule, with many questioning the prioritization of animal health over human health. The debate has sparked comparisons to broader issues in Brazilian politics, highlighting concerns over corruption and mismanagement in the health sector."
2014_10,neutral,"The texts discuss various aspects of vaccination, focusing on the controversy surrounding the inclusion of horse vaccines as health expenditures in Minas Gerais, particularly under Aécio Neves' government. Critics highlight this as an inappropriate allocation of health funds, while supporters argue it relates to public health measures. Additionally, there are mentions of vaccination campaigns for both animals and humans, including efforts against rabies and HPV, and the ongoing research and testing of an Ebola vaccine. Overall, the conversation reflects societal attitudes towards vaccination and public health policy."
2014_10,positive,"The text discusses various vaccination campaigns and initiatives in Brazil, including vaccinations against polio, measles, HPV, and rabies. It highlights the urgency and importance of these vaccinations, especially in light of potential epidemics like Ebola. It also mentions the testing of an Ebola vaccine in Canada and Switzerland, and emphasizes the role of vaccinations in public health and disease prevention."
2014_11,negative,"The text discusses various aspects of vaccination, including the importance of keeping vaccinations up to date for children, the risks associated with certain vaccines for children with allergies (especially to milk), the low uptake of the HPV vaccine among girls, and reactions to the measles vaccine leading to its suspension in Amazonas. It also mentions criticism from the WHO regarding the lack of investment in vaccines for diseases like Ebola."
2014_11,neutral,"The text discusses various vaccination campaigns in Brazil, emphasizing the registration of a new flu vaccine by Anvisa and the government's plans to immunize millions of children against polio and measles. It also highlights the start of vaccination efforts for these diseases, alongside campaigns for rabies vaccination in animals, including details about specific dates and goals for these initiatives."
2014_11,positive,"The provided sentences in Portuguese discuss various vaccination campaigns in Brazil, focusing on the importance of keeping vaccinations up to date for children, pregnant women, and pets. Key topics include the launch of vaccines for diseases like dengue, polio, measles, and whooping cough, with emphasis on specific campaigns and deadlines for immunization. Additionally, advancements in vaccine development, including one against Ebola, and the introduction of health apps to track vaccination schedules are highlighted."
2014_12,negative,"The text discusses various opinions and reactions to vaccinations, highlighting concerns about pain, side effects, and the effectiveness of vaccines. It also addresses issues of public health, vaccination campaigns' failures, and societal attitudes toward vaccines, including resistance from some groups. The underlying themes include fear of needles, personal discomfort, and the broader implications of vaccination in society."
2014_12,neutral,"The text discusses the extension and completion of vaccination campaigns against poliomyelitis and measles in various regions of Brazil. It highlights that many states, including Acre and Amapá, did not meet vaccination targets, leading to the need for extensions. The campaigns aimed to vaccinate children under five years old, with various announcements reminding parents of deadlines and vaccination locations. Overall, the urgency for increased vaccination rates and compliance with health guidelines is emphasized, particularly in light of ongoing public health challenges."
2014_12,positive,"The text discusses various vaccination campaigns in Brazil, focusing on the vaccination against polio, measles, and other diseases such as dengue and HPV. It highlights the importance of public health initiatives, with many cities achieving significant coverage rates. Additionally, it mentions the development and testing of vaccines for diseases like Ebola and cancer, emphasizing the necessity of staying updated with vaccinations for children and pets."
2015_01,negitive,"The text reflects a widespread frustration and disdain for vaccinations. Many express discomfort, pain, or adverse reactions after receiving vaccines, while also highlighting a growing anti-vaccine movement. Concerns about vaccine safety, the rising costs of childhood vaccinations, and the consequences of low vaccination rates—such as disease outbreaks—are prevalent themes."
2015_01,neutral,"The text discusses various aspects of vaccinations, including reminders for specific vaccines like HPV and anti-rabies, public health campaigns, and personal anecdotes about getting vaccinated. It also mentions ongoing clinical trials for vaccines against diseases like Ebola, the importance of vaccination in preventing outbreaks (e.g., measles), and societal attitudes towards vaccination. The overall tone reflects a mix of humor, concern, and awareness about the necessity of maintaining vaccination schedules for both children and adults."
2015_01,positive,"Recent developments include Johnson & Johnson's initiation of human trials for an Ebola vaccine, new Israeli cancer vaccines showing promising results for 90% of cancer types, and ongoing vaccination campaigns for HPV targeted at girls aged 11 to 13. Additionally, the FDA has approved a meningitis vaccine, enhancing public health efforts."
2015_02,negitive,"The selected texts express a mix of opinions and experiences regarding vaccinations. They highlight frustration with the pain associated with vaccines, concerns about vaccine efficacy and safety, and the rise of anti-vaccine sentiments. Additionally, there are criticisms of those who refuse vaccinations for their children, linking it to public health risks, while some express a desire for vaccines to prevent various issues, including social behaviors and diseases."
2015_02,neutral,"The text discusses various aspects of vaccination, including government campaigns, public health issues related to vaccine availability (like shortages of BCG and HPV vaccines), and societal attitudes towards vaccines. It touches on debates over mandatory vaccination, controversies about the HPV vaccine and its effects on sexual behavior, and the resurgence of diseases like measles due to vaccination hesitancy. Additionally, it highlights the importance of vaccination in preventing outbreaks and maintaining public health."
2015_02,positive,"The provided Portuguese sentences discuss various aspects of vaccination, highlighting its importance in preventing diseases like HPV, measles, yellow fever, and Chagas. Research indicates that vaccines do not encourage risky sexual behavior or other negative outcomes. New vaccines are being developed for HIV and other diseases. The text emphasizes the significance of vaccination in public health, especially amid outbreaks. Additionally, it mentions the role of organizations like WHO in promoting vaccination campaigns."
2015_03,negitive,"The discussion revolves around various concerns and experiences related to vaccinations. It highlights side effects, public sentiment against HPV vaccines, the lack of vaccines (especially BCG and anti-tuberculosis) in Brazil, and tragic incidents linked to vaccination campaigns, including attacks on vaccination efforts. Reactions range from fear and skepticism to frustration over vaccine shortages and government negligence."
2015_03,neutral,"A vaccination campaign against HPV is starting in various regions of Brazil, targeting girls aged 9 to 11. Despite the importance of the vaccine in preventing cervical cancer, there is a low uptake reported in many areas. The Ministry of Health is working to raise awareness and increase participation in the vaccination program."
2015_03,positive,"The provided texts primarily discuss various vaccination campaigns, particularly against HPV for girls aged 9 to 11, which aims to prevent cervical cancer. The texts emphasize the importance of vaccination in public health, including plans to vaccinate women with HIV and the expected availability of vaccines for dengue and other diseases. There are mentions of vaccination efforts across different regions and the efficacy of the HPV vaccine, which is noted for its high effectiveness."
2015_04,negitive,"The sentences express various opinions and experiences regarding vaccinations, highlighting discomfort and fear associated with them. There are mentions of specific vaccines like HPV and tetanus, concerns about side effects, and instances of people avoiding vaccination. Some express distrust in vaccines, linking them to government scandals or personal anecdotes, while others note incidents of vaccine shortages and criminal activities at vaccination clinics."
2015_04,neutral,"The text discusses various vaccination campaigns in Brazil, including the government's decision to eliminate import taxes on HPV vaccines, the initiation of campaigns for flu and other vaccines, and efforts to vaccinate specific populations such as children, the elderly, and livestock. There are mentions of vaccination logistics, public health initiatives, and community responses, highlighting the importance of vaccination in disease prevention."
2015_04,positive,"Recent studies highlight the efficacy and safety of various vaccines, including those against HPV and dengue, while dispelling myths linking vaccines to autism. Cuba has announced a new lung cancer vaccine and plans to export it to the US. A significant campaign for influenza vaccination is set to begin in Brazil, targeting millions."
2015_05,negitive,"The text discusses various people's experiences and sentiments regarding vaccinations, particularly the flu vaccine. Many express discomfort and pain after receiving vaccines, while some question their effectiveness or express fear of needles. There's also mention of vaccination campaigns, shortages, and controversies surrounding vaccines, including a focus on HPV vaccines. Overall, the sentiment reflects a mix of annoyance, fear, and skepticism towards vaccination practices and their side effects."
2015_05,neutral,"The sentences discuss the ongoing vaccination campaigns against influenza (the flu) and other diseases in Brazil. Numerous health posts are starting these campaigns, focusing on vaccinating priority groups such as children, elderly individuals, and pregnant women. There's also a mention of a new meningitis B vaccine. Several municipalities are struggling to meet vaccination targets, leading to extensions of these campaigns. Additionally, there are references to public health discussions and the importance of vaccinations in preventing outbreaks."
2015_05,positive,"The provided sentences discuss various vaccination campaigns in Brazil and Nepal, focusing on the flu vaccine, the HPV vaccine, and a new meningitis vaccine. They highlight the importance of vaccination to prevent diseases, the targets for immunization, and the rollout of vaccines amid public health efforts. The campaigns aim to vaccinate vulnerable populations, including children, pregnant women, and the elderly. Additionally, there are mentions of a Cuban vaccine for lung cancer and ongoing research for vaccines against dengue and AIDS."
2015_06,negitive,"The text discusses various aspects of vaccination, particularly against the flu and other diseases. It highlights issues like low vaccination rates, painful experiences associated with getting vaccinated, and skepticism about vaccine efficacy, as well as concerns about potential health risks. Additionally, it mentions a resurgence of diseases like diphtheria due to anti-vaccine sentiments."
